Postalcode,Borough,Neighborhood,City,Latitude,Longitude,IsDuplicate,Total Venues,1st Most Common Label,2nd Most Common Label,3rd Most Common Label,4th Most Common Label,5th Most Common Label,6th Most Common Label,7th Most Common Label,8th Most Common Label,9th Most Common Label,10th Most Common Label,Median Rent Studio,Median Rent 1 Bedroom,Median Rent 2 Bedrooms,Median Rent 3 Bedrooms,Median Rent Studio in USD,Median Rent 1 Bedroom in USD,Median Rent 2 Bedrooms in USD,Median Rent 3 Bedrooms in USD,innerouter,Proximity,Normalized Median Rent Studio in USD,Normalized Median Rent 1 Bedroom in USD,Normalized Median Rent 2 Bedrooms in USD,Normalized Median Rent 3 Bedrooms in USD,Normalized Proximity,Normalized Total Venues
G1A,Quebec Provincial Government,Quebec Provincial Government,Quebec City,46.80931462700005,-71.21302299299998,False,100.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Bar,Arts and Entertainment,Retail,Community and Government,Food and Beverage Retail,Business and Professional Services,Education,696.0,811.0,906.0,1025.0,696.0,811.0,906.0,1025.0,inner,0.3493944079418725,-0.3520416248971423,-0.772624180294143,-0.7549490831904466,-0.9003661385549787,-0.3015399596711983,0.23226847371775475
G4A,Clermont,Clermont,Quebec City,47.69060800000005,-70.21937799999995,False,5.0,Travel and Transportation,Food and Beverage Retail,Landmarks and Outdoors,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,647.0,922.0,1029.0,1381.0,647.0,922.0,1029.0,1381.0,inner,123.32739563744126,-0.664645308290157,-0.05063744366778555,-0.0982625136332627,0.49726167349526434,-0.04015086067166034,-0.35517401371581864
G5A,La Malbaie,La Malbaie,Quebec City,47.65694400000007,-70.15138899999994,False,6.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,647.0,922.0,1029.0,1381.0,647.0,922.0,1029.0,1381.0,inner,123.68766125194168,-0.664645308290157,-0.05063744366778555,-0.0982625136332627,0.49726167349526434,-0.03938511799058487,-0.3489904085849389
G6A,Saint-Georges,Saint-Georges Northwest,Quebec City,46.12271400000003,-70.67015099999998,True,11.0,Dining and Lunching,Arts and Entertainment,Food and Beverage Retail,Retail,Travel and Transportation,Bar,Business and Professional Services,Community and Government,Education,Event,948.0,1113.0,1257.0,1519.0,948.0,1113.0,1257.0,1519.0,inner,87.31483183306274,1.2556344611240757,1.1917000941307214,1.1190101518873707,1.0390387467057518,-0.11669537685649371,-0.31807238293054035
G7A,Lévis,Lévis South,Quebec City,46.699333,-71.301231,False,9.0,Travel and Transportation,Landmarks and Outdoors,Retail,Dining and Lunching,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,948.0,1113.0,1257.0,1519.0,948.0,1113.0,1257.0,1519.0,inner,14.195728163308711,1.2556344611240757,1.1917000941307214,1.1190101518873707,1.0390387467057518,-0.2721096496273069,-0.33043959319229976
G8A,Saguenay,West Jonquière,Quebec City,48.37224865500008,-71.13058857099998,True,1.0,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail,612.0,814.0,934.0,1110.0,612.0,814.0,934.0,1110.0,inner,173.55589003423202,-0.8879336535708817,-0.7531110252501875,-0.6054594576001934,-0.5666628688238813,0.06660954170289958,-0.3799084342393375
G9A,Trois-Rivières,Trois-Rivières East,Quebec City,46.34311100000008,-72.54331999999994,True,50.0,Dining and Lunching,Arts and Entertainment,Bar,Travel and Transportation,Food and Beverage Retail,Retail,Landmarks and Outdoors,Business and Professional Services,Community and Government,Education,948.0,1113.0,1257.0,1519.0,948.0,1113.0,1257.0,1519.0,inner,114.4291523967246,1.2556344611240757,1.1917000941307214,1.1190101518873707,1.0390387467057518,-0.05906403018259664,-0.07691178282623125
G1B,Beauport North,Beauport North,Quebec City,46.92135873600006,-71.21336529899997,False,1.0,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail,647.0,922.0,1029.0,1381.0,647.0,922.0,1029.0,1381.0,inner,12.126422225842822,-0.664645308290157,-0.05063744366778555,-0.0982625136332627,0.49726167349526434,-0.2765079485843634,-0.3799084342393375
G2B,Loretteville South,Loretteville South,Quebec City,46.84203630500008,-71.35761041399996,False,15.0,Dining and Lunching,Retail,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,648.0,906.0,996.0,1090.0,648.0,906.0,996.0,1090.0,inner,11.406588258511606,-0.6582656412821363,-0.15470760390221547,-0.27444671522177544,-0.6451812852311983,-0.27803795192047903,-0.2933379624070214
G3B,Lac-Beauport,Lac-Beauport,Quebec City,46.97851616000003,-71.28444269299996,False,2.0,Dining and Lunching,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,Food and Beverage Retail,612.0,814.0,934.0,1110.0,612.0,814.0,934.0,1110.0,inner,19.232685045623075,-0.8879336535708817,-0.7531110252501875,-0.6054594576001934,-0.5666628688238813,-0.26140362409424717,-0.37372482910845783
