Postalcode,Borough,Neighborhood,City,City1,City2,Latitude,Longitude,IsDuplicate
G1A,Quebec Provincial Government,Quebec Provincial Government,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.80931462700005,-71.21302299299998,False
G2A,North Loretteville,North Loretteville,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.88075997200008,-71.39855454899998,False
G3A,Saint-Augustin-de-Desmaures,Saint-Augustin-de-Desmaures,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.755496796000045,-71.49019749199994,False
G4A,Clermont,Clermont,Quebec City,"Quebec City, Quebec","Quebec City, QC",47.690608000000054,-70.21937799999995,False
G5A,La Malbaie,La Malbaie,Quebec City,"Quebec City, Quebec","Quebec City, QC",47.65694400000007,-70.15138899999994,False
G6A,Saint-Georges,Saint-Georges Northwest,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.12271400000003,-70.67015099999998,True
G7A,Lévis,Lévis South,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.699333,-71.301231,False
G8A,Saguenay,West Jonquière,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.37224865500008,-71.13058857099998,True
G9A,Trois-Rivières,Trois-Rivières East,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.34311100000008,-72.54331999999994,True
G1B,Beauport North,Beauport North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.92135873600006,-71.21336529899997,False
G2B,Loretteville South,Loretteville South,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.84203630500008,-71.35761041399996,False
G3B,Lac-Beauport,Lac-Beauport,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.97851616000003,-71.28444269299996,False
G5B,Port-Cartier,Port-Cartier,Quebec City,"Quebec City, Quebec","Quebec City, QC",50.021131000000025,-66.87629299999998,False
G6B,Lac-Mégantic,Frontenac,Quebec City,"Quebec City, Quebec","Quebec City, QC",45.59446900000006,-70.91038599999996,False
G7B,Saguenay,La Baie,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.37224865500008,-71.13058857099998,True
G8B,Alma,Alma Southeast,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.812280000000044,-71.21453999999994,True
G9B,Trois-Rivières,Trois-Rivières South,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.34311100000008,-72.54331999999994,True
G1C,Central Beauport,Central Beauport,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.88576213500005,-71.19768057399995,False
G2C,Quebec City Northwest,Quebec City Northwest,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.83323970600003,-71.33179647699995,False
G3C,Stoneham-et-Tewkesbury,Lac-Delage,Quebec City,"Quebec City, Quebec","Quebec City, QC",47.03326749200005,-71.36704002099998,False
G5C,Baie-Comeau,Baie-Comeau Southwest,Quebec City,"Quebec City, Quebec","Quebec City, QC",49.22131600000006,-68.15030299999995,True
G6C,Lévis,Lévis North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.812280000000044,-71.21453999999994,True
G8C,Alma,Alma Southwest,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.812280000000044,-71.21453999999994,True
G9C,Trois-Rivières,Trois-Rivières West North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.34311100000008,-72.54331999999994,True
G1E,Beauport South,Beauport South,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.86116888600003,-71.19272504199995,False
G2E,L'Ancienne-Lorette,L'Ancienne-Lorette,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.80730672200008,-71.35744980999993,False
G3E,Saint-Émile,Saint-Émile,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.87734345600006,-71.33409803299998,False
G6E,Sainte-Marie,Sainte-Marie,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.43834000000004,-71.02132599999999,False
G8E,Alma,Alma North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.812280000000044,-71.21453999999994,True
G1G,Charlesbourg  Orsainville,Charlesbourg  Orsainville,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.87777977800005,-71.28417983099996,False
G2G,L'Ancienne-Lorette & co,"L'Ancienne-Lorette, YQB",Quebec City,"Quebec City, Quebec","Quebec City, QC",46.79019834600007,-71.41213412399998,False
G3G,Lac-Saint-Charles,Lac-Saint-Charles,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.92269453100005,-71.39083056299995,False
G6G,Thetford Mines,Saint-Jean-de-Brébeuf,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.08902800000004,-71.30198699999994,True
G7G,Saguenay,North Chicoutimi,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.37224865500008,-71.13058857099998,True
G8G,Métabetchouan–Lac-à-la-Croix,Métabetchouan–Lac-à-la-Croix,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.42970794100006,-71.85662215399998,False
G1H,South Charlesbourg,South Charlesbourg,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.85305238700005,-71.25718162399994,False
G3H,Pont-Rouge,Pont-Rouge,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.883102,-72.084679,False
G5H,Mont-Joli,Saint-Joseph-de-Lepage,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.58546800000005,-68.18962899999997,False
G6H,Thetford Mines,Irlande,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.08902800000004,-71.30198699999994,True
G7H,Saguenay,East Chicoutimi,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.37224865500008,-71.13058857099998,True
G8H,Roberval,Roberval,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.52118000000007,-72.26780999999994,False
G9H,Bécancour,Bécancour,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.34106000000003,-72.43223999999998,False
G1J,Lower Riverbank,Lower Riverbank,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.83581260700004,-71.21804772799999,False
G2J,Inner North,Inner North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.841295080000066,-71.27916876199998,False
G3J,Val-Bélair North,Val-Bélair North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.85757088100007,-71.47370552999996,False
G5J,Amqui,Amqui,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.812280000000044,-71.21453999999994,True
G6J,Lévis,Lévis North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.812280000000044,-71.21453999999994,True
G7J,Saguenay,Chicoutimi West,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.37224865500008,-71.13058857099998,True
G8J,Saint-Prime,La Doré,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.59242000000006,-72.33554999999996,False
G1K,Notre-Dame-des-Anges,Notre-Dame-des-Anges,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.79721475400004,-71.22124997499998,False
G2K,Outer North,Outer North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.84810430600004,-71.30267785199999,False
G3K,South Val-Bélair,South Val-Bélair,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.83028513600004,-71.44534944599997,False
G6K,Lévis,Lévis North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.812280000000044,-71.21453999999994,True
G7K,Saguenay,Southwest Chicoutimi,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.37224865500008,-71.13058857099998,True
G8K,Saint-Félicien,Saint-Félicien,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.657771000000025,-72.45097899999996,False
G1L,Quebec City Northeast,Quebec City Northeast South,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.83049099600004,-71.24320141399994,False
G2L,Charlesbourg  Bourg-Royal,Charlesbourg  Bourg-Royal,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.89731899800006,-71.25669302199998,False
G3L,Saint-Raymond,Saint-Raymond,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.89141200000006,-71.83264599999995,False
G5L,Rimouski,Rimouski Central,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.44922800000006,-68.52525899999995,True
G6L,Plessisville,Princeville,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.219445000000064,-71.77213499999993,False
G8L,Dolbeau-Mistassini,Saint-Stanislas,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.88262400000008,-72.23338099999995,False
G1M,North Central,North Central North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.82439100000005,-71.25270099999994,False
G2M,Quebec City Northeast,Quebec City Northeast North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.91809124500003,-71.30859262599995,False
G3M,Donnacona,Donnacona,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.67266700000005,-71.73724999999996,False
G5M,Rimouski,Rimouski Northeast,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.44922800000006,-68.52525899999995,True
G8M,Normandin,Albanel,Quebec City,"Quebec City, Quebec","Quebec City, QC",49.39878691681266,0.2476695881292606,False
G1N,South Central,South Central,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.802781681000056,-71.26598115599995,False
G2N,Quebec City West,Quebec City West North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.91302856900006,-71.33953045699997,False
G3N,Sainte-Catherine-de-la-Jacques-Cartier,"Fossambault-sur-le-Lac, Lac-Saint-Joseph",Quebec City,"Quebec City, Quebec","Quebec City, QC",46.84445200000005,-71.61522599999995,False
G5N,Rimouski,Rimouski Southwest,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.44922800000006,-68.52525899999995,True
G7N,Saguenay,Laterrière,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.37224865500008,-71.13058857099998,True
G8N,Hébertville,Hébertville,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.394205000000056,-71.67745099999996,False
G9N,Shawinigan,Shawinigan Central,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.55324000000007,-72.75034699999998,True
G1P,Quebec City West,Quebec City West South,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.791090000000054,-71.29249999999996,False
G6P,Victoriaville,Victoriaville Central,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.054955000000064,-71.96020599999997,True
