Postalcode,Borough,Neighborhood,City,City1,City2,Latitude,Longitude,IsDuplicate,Total Venues,1st Most Common Label,2nd Most Common Label,3rd Most Common Label,4th Most Common Label,5th Most Common Label,6th Most Common Label,7th Most Common Label,8th Most Common Label,9th Most Common Label,10th Most Common Label
G1A,Quebec Provincial Government,Quebec Provincial Government,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.80931462700005,-71.21302299299998,False,100.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Bar,Arts and Entertainment,Retail,Community and Government,Food and Beverage Retail,Business and Professional Services,Education
G4A,Clermont,Clermont,Quebec City,"Quebec City, Quebec","Quebec City, QC",47.69060800000005,-70.21937799999995,False,5.0,Travel and Transportation,Food and Beverage Retail,Landmarks and Outdoors,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education
G5A,La Malbaie,La Malbaie,Quebec City,"Quebec City, Quebec","Quebec City, QC",47.65694400000007,-70.15138899999994,False,6.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service
G6A,Saint-Georges,Saint-Georges Northwest,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.12271400000003,-70.67015099999998,True,11.0,Dining and Lunching,Arts and Entertainment,Food and Beverage Retail,Retail,Travel and Transportation,Bar,Business and Professional Services,Community and Government,Education,Event
G7A,Lévis,Lévis South,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.699333,-71.301231,False,9.0,Travel and Transportation,Landmarks and Outdoors,Retail,Dining and Lunching,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
G8A,Saguenay,West Jonquière,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.37224865500008,-71.13058857099998,True,1.0,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail
G9A,Trois-Rivières,Trois-Rivières East,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.34311100000008,-72.54331999999994,True,50.0,Dining and Lunching,Arts and Entertainment,Bar,Travel and Transportation,Food and Beverage Retail,Retail,Landmarks and Outdoors,Business and Professional Services,Community and Government,Education
G1B,Beauport North,Beauport North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.92135873600006,-71.21336529899997,False,1.0,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail
G2B,Loretteville South,Loretteville South,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.84203630500008,-71.35761041399996,False,15.0,Dining and Lunching,Retail,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
G3B,Lac-Beauport,Lac-Beauport,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.97851616000003,-71.28444269299996,False,2.0,Dining and Lunching,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,Food and Beverage Retail
