City,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Label
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Assemblée nationale du Québec,46.808703094183095,-71.21415138244629,Capitol Building,Community and Government
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Fontaine de Tourny,46.809683397329096,-71.21263564695727,Plaza,Landmarks and Outdoors
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Parc de l'Esplanade,46.810424010894884,-71.2115050753354,Park,Landmarks and Outdoors
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Hôtel Manoir D'auteuil,46.811391056584746,-71.21137892335412,Bed and Breakfast,Travel and Transportation
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Le Saint-Amour,46.811331,-71.210221,French Restaurant,Dining and Lunching
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Parc de la Francophonie,46.807504732156495,-71.2153802988202,Park,Landmarks and Outdoors
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Place d'Youville,46.81242667014215,-71.2142465940788,Plaza,Landmarks and Outdoors
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Fortifications-de-Québec,46.81288342267722,-71.21306100648167,Monument,Landmarks and Outdoors
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Festival d'été de Quebec - Scène Bell,46.80571731516368,-71.21210569263009,Concert Hall,Arts and Entertainment
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Citadelle de Québec,46.80775149597829,-71.20808236500082,History Museum,Arts and Entertainment
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Hôtel Manoir de l'Esplanade,46.81029959707567,-71.21015841550846,Hotel,Travel and Transportation
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Bello Ristorante,46.810592633371236,-71.20923472768158,Italian Restaurant,Dining and Lunching
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Hôtel Château Laurier,46.80649294584678,-71.2149202136011,Hotel,Travel and Transportation
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,La Ninkasi,46.81119687325639,-71.21715241650844,Karaoke Bar,Bar
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Palais Montcalm,46.81240512414711,-71.2139403326507,Concert Hall,Arts and Entertainment
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Casa Calzone,46.80623260837032,-71.2163647193957,Italian Restaurant,Dining and Lunching
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Porte St-Jean,46.81277925514347,-71.21296281163227,Monument,Landmarks and Outdoors
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Auberge Internationale de Québec,46.81243489050839,-71.2113176648863,Hostel,Travel and Transportation
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,La Piazz Grande Allée,46.806232505489255,-71.21626522196992,Bar,Bar
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Bar Ste-Angèle,46.81305541208579,-71.211791137903,Bar,Bar
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Cantook Micro Torrefaction,46.80990824384575,-71.21996832020744,Café,Dining and Lunching
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Maison de la Littérature,46.81305455142209,-71.21099503938281,Historic and Protected Site,Landmarks and Outdoors
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Second Cup Café,46.81219480749934,-71.21472713128281,Café,Dining and Lunching
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Pub Nelligan's,46.81081311473673,-71.21884138342601,Pub,Bar
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,La Bûche,46.81128851034051,-71.20808945159246,Restaurant,Dining and Lunching
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Chez Boulay - Bistro Boréal,46.81394,-71.210846,Scandinavian Restaurant,Dining and Lunching
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Morrin Centre,46.812709759621704,-71.21050484875386,History Museum,Arts and Entertainment
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Quartier Vieux-Québec – Cap-Blanc – Colline-Parlementaire,46.81309074452116,-71.20740782281237,Neighborhood,Landmarks and Outdoors
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Polina Pizzeria,46.81167372626787,-71.20754169346523,Pizzeria,Dining and Lunching
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,La Galette Libanaise,46.806232505489255,-71.21626522196992,Falafel Restaurant,Dining and Lunching
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Brûlerie St-Jean,46.8119058368838,-71.21575973176235,Coffee Shop,Dining and Lunching
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Librairie Pantoute,46.813915237888025,-71.21102637946242,Bookstore,Retail
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Tutto Gelato,46.81088225051735,-71.21860428569086,Ice Cream Parlor,Dining and Lunching
Quebec City,Quebec Provincial Government,46.80931462700005,-71.21302299299998,Ciel! Bistro-bar,46.8053146,-71.2172325,Scenic Lookout,Landmarks and Outdoors
