City,Neighborhood,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail,Health and Medicine,Landmarks and Outdoors,Office,Retail,Sports and Recreation,Travel and Transportation
Montreal,Ahuntsic East,0.07142857142857142,0.07142857142857142,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142
Montreal,Ahuntsic North,0.02040816326530612,0.061224489795918366,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.14285714285714285,0.0,0.061224489795918366,0.0,0.10204081632653061,0.0,0.04081632653061224
Montreal,Ahuntsic South,0.03333333333333333,0.0,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.05,0.0,0.0,0.016666666666666666,0.38333333333333336,0.0,0.05
Montreal,Ahuntsic West,0.0,0.047619047619047616,0.0,0.0,0.47619047619047616,0.0,0.0,0.0,0.14285714285714285,0.0,0.047619047619047616,0.0,0.14285714285714285,0.0,0.14285714285714285
Montreal,Anjou North,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.25,0.0,0.25
Montreal,Anjou South,0.07142857142857142,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.07142857142857142,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.14285714285714285
Montreal,"Baie-D'Urfé, Senneville",0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0
Montreal,Beaconsfield,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
Montreal,Cartierville Center,0.0,0.05,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.05,0.0,0.1,0.0,0.05
Montreal,Cartierville North,0.0625,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.125,0.0,0.25,0.0,0.25,0.0,0.125
Montreal,Cartierville South,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
Montreal,"Centre-Sud, Le Village",0.1,0.13,0.01,0.0,0.54,0.01,0.0,0.0,0.07,0.0,0.05,0.0,0.05,0.0,0.04
Montreal,"Centre-Sud, Sainte-Marie",0.07407407407407407,0.05555555555555555,0.018518518518518517,0.0,0.42592592592592593,0.0,0.0,0.0,0.09259259259259259,0.0,0.09259259259259259,0.0,0.16666666666666666,0.0,0.07407407407407407
