Postalcode,Borough,Neighborhood,City,City1,City2
G1A,Quebec Provincial Government,Quebec Provincial Government,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G2A,North Loretteville,North Loretteville,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G3A,Saint-Augustin-de-Desmaures,Saint-Augustin-de-Desmaures,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G4A,Clermont,Clermont,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G5A,La Malbaie,La Malbaie,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G6A,Saint-Georges,Saint-Georges Northwest,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G7A,Lévis,Lévis,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G8A,Saguenay,West Jonquière,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G9A,Trois-Rivières,Trois-Rivières East,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G1B,Beauport North,Beauport North,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G2B,Loretteville South,Loretteville South,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G3B,Lac-Beauport,Lac-Beauport,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G5B,Port-Cartier,Port-Cartier,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G6B,Lac-Mégantic,Frontenac,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G7B,Saguenay,La Baie,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G8B,Alma,Alma Southeast,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G9B,Trois-Rivières,Trois-Rivières South,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G1C,Central Beauport,Central Beauport,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G2C,Quebec City Northwest,Quebec City Northwest,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G3C,Stoneham-et-Tewkesbury,Lac-Delage,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G5C,Baie-Comeau,Baie-Comeau Southwest,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G6C,Lévis,Lévis,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G8C,Alma,Alma Southwest,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G9C,Trois-Rivières,Trois-Rivières West,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G1E,Beauport South,Beauport South,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G2E,L'Ancienne-Lorette,L'Ancienne-Lorette,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G3E,Saint-Émile,Saint-Émile,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G6E,Sainte-Marie,Sainte-Marie,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G8E,Alma,Alma North,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G1G,Charlesbourg  Orsainville,Charlesbourg  Orsainville,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G2G,L'Ancienne-Lorette & co,"L'Ancienne-Lorette, YQB",Quebec City,"Quebec City, Quebec","Quebec City, QC"
G3G,Lac-Saint-Charles,Lac-Saint-Charles,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G6G,Thetford Mines,Saint-Jean-de-Brébeuf,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G7G,Saguenay,North Chicoutimi,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G8G,Métabetchouan–Lac-à-la-Croix,Métabetchouan–Lac-à-la-Croix,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G1H,South Charlesbourg,South Charlesbourg,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G3H,Pont-Rouge,Pont-Rouge,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G5H,Mont-Joli,Saint-Joseph-de-Lepage,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G6H,Thetford Mines,Irlande,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G7H,Saguenay,East Chicoutimi,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G8H,Roberval,Roberval,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G9H,Bécancour,Bécancour,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G1J,Lower Riverbank,Lower Riverbank,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G2J,Inner North,Inner North,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G3J,Val-Bélair North,Val-Bélair North,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G5J,Amqui,Amqui,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G6J,Lévis,Lévis,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G7J,Saguenay,Chicoutimi West,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G8J,Saint-Prime,La Doré,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G1K,Notre-Dame-des-Anges,Notre-Dame-des-Anges,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G2K,Outer North,Outer North,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G3K,South Val-Bélair,South Val-Bélair,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G6K,Lévis,Lévis,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G7K,Saguenay,Southwest Chicoutimi,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G8K,Saint-Félicien,Saint-Félicien,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G1L,Quebec City Northeast,Quebec City Northeast,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G2L,Charlesbourg  Bourg-Royal,Charlesbourg  Bourg-Royal,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G3L,Saint-Raymond,Saint-Raymond,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G5L,Rimouski,Rimouski Central,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G6L,Plessisville,Princeville,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G8L,Dolbeau-Mistassini,Saint-Stanislas,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G1M,North Central,North Central,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G2M,Quebec City Northeast,Quebec City Northeast,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G3M,Donnacona,Donnacona,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G5M,Rimouski,Rimouski Northeast,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G8M,Normandin,Albanel,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G1N,South Central,South Central,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G2N,Quebec City West,Quebec City West,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G3N,Sainte-Catherine-de-la-Jacques-Cartier,"Fossambault-sur-le-Lac, Lac-Saint-Joseph",Quebec City,"Quebec City, Quebec","Quebec City, QC"
G5N,Rimouski,Rimouski Southwest,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G7N,Saguenay,Laterrière,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G8N,Hébertville,Hébertville,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G9N,Shawinigan,Shawinigan Central,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G1P,Quebec City West,Quebec City West,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G6P,Victoriaville,Victoriaville Central,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G7P,Saint-Ambroise,Saint-Ambroise,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G8P,Chibougamau,Chibougamau,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G9P,Shawinigan,Shawinigan Southeast,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G1R,Saint-Louis-de-Gonzague-du-Cap-Tourmente,Saint-Louis-de-Gonzague-du-Cap-Tourmente,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G4R,Sept-Îles,"Maliotenam, Uashat",Quebec City,"Quebec City, Quebec","Quebec City, QC"
G5R,Rivière-du-Loup,Rivière-du-Loup,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G6R,Victoriaville,Saint-Christophe-d'Arthabaska,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G9R,Shawinigan,Shawinigan Northwest,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G1S,Quebec City South,Quebec City South,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G3S,Shannon,Shannon,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G4S,Sept-Îles,Sept-Îles Northwest,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G6S,Victoriaville,Victoriaville East,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G7S,Saguenay,Northeast Jonquière,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G1T,Upper Riverbank,Upper Riverbank,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G4T,Les Îles-de-la-Madeleine,Grosse-Île,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G5T,Dégelis,Dégelis,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G6T,Victoriaville,Victoriaville Northwest,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G7T,Saguenay,Southeast Jonquière,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G8T,Trois-Rivières,Central and southeast,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G9T,Shawinigan,Grand-Mère,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G1V,Northeast Sainte-Foy,Northeast Sainte-Foy,Quebec City,"Quebec City, Quebec","Quebec City, QC"
G4V,Sainte-Anne-des-Monts,Sainte-Anne-des-Monts,Quebec City,"Quebec City, Quebec","Quebec City, QC"
